Date;Open;High;Low;Close;Volume
2025-03-12;250.35;253.13;246.22;246.39;1191282
2025-03-01;261.56;266.45;245.86;248.95;13794800
2025-03-01;254.74;261.96;245.18;261.54;22284200
2025-02-01;261.50;263.85;246.54;252.44;25541400
2025-02-01;261.93;265.09;259.83;261.48;18534200
2025-02-01;250.86;261.94;246.87;261.28;19898100
2025-02-01;252.40;265.72;251.84;252.34;30149900
2025-01-01;222.19;261.80;219.84;255.70;39049000
2025-01-01;224.99;227.45;220.35;224.80;15594300
2025-01-01;217.89;225.96;214.61;224.79;18989800
2025-01-01;223.00;226.71;216.80;219.75;12336100
2024-12-01;220.54;223.66;217.60;222.65;10817400
2024-12-01;222.81;225.40;221.08;222.78;9271600
2024-12-01;230.73;231.03;220.03;223.36;28264500
2024-12-01;238.00;239.35;227.80;230.82;20885700
2024-12-01;227.50;238.38;225.51;238.04;18743400
2024-11-01;223.35;230.36;222.65;227.41;17274200
2024-11-01;207.00;227.20;205.37;222.97;21386600
2024-11-01;1.67 Dividend;;;;
2024-11-01;214.40;215.41;204.07;204.99;19438000
2024-11-01;207.65;216.70;205.57;213.72;15846600
2024-10-01;215.50;216.25;203.51;208.25;26467700
2024-10-01;231.21;233.34;214.39;214.67;31380700
2024-10-01;233.57;237.37;230.17;232.20;18477500
2024-10-01;225.38;235.83;225.02;233.26;18397900
1930-09-01;220.65;226.08;215.80;226.00;17777300
2024-09-01;218.00;224.15;217.27;220.84;16300000
2024-09-01;215.88;218.84;210.37;217.70;28532500
2024-09-01;201.94;216.09;201.43;214.79;21518600
2024-09-01;201.91;205.95;199.34;200.74;13550900
2024-08-01;196.00;202.17;195.90;202.13;15570100
2024-08-01;193.84;197.92;193.72;196.10;11022600
2024-08-01;191.25;194.35;189.00;193.78;11330700
2024-08-01;1.67 Dividend;;;;
2024-08-01;184.55;192.88;181.81;191.45;18895800
2024-07-01;193.18;194.55;185.70;189.12;20594400
2024-07-01;183.40;196.26;182.86;191.75;25458500
2024-07-01;183.38;189.47;181.95;183.25;17829300
2024-07-01;176.41;184.16;174.45;182.83;16070300
2024-07-01;173.45;177.98;173.38;176.02;9939300
2024-06-01;175.00;178.46;170.41;172.95;18850300
2024-06-01;168.76;174.96;167.50;172.46;21531300
2024-06-01;169.55;172.47;166.81;169.21;16222100
2024-06-01;166.54;171.31;163.53;170.01;14102300
2024-05-01;170.44;171.09;163.84;166.85;15594100
2024-05-01;169.00;175.46;168.38;170.89;18409700
2024-05-01;167.50;169.63;166.48;169.03;15933400
2024-05-01;1.67 Dividend;;;;
2024-05-01;166.50;170.26;165.88;167.15;17421600
2024-04-01;167.40;168.22;162.62;165.71;22514000
2024-04-01;182.45;184.68;165.66;167.13;42329300
2024-04-01;185.57;187.48;180.17;181.58;16929100
2024-04-01;189.24;191.25;181.69;182.27;14961000
2024-04-01;190.00;193.28;187.34;189.14;12881500
2024-03-01;190.26;191.93;188.50;190.96;15383300
2024-03-01;191.70;193.98;190.01;190.84;23967800
2024-03-01;192.46;199.18;190.70;191.07;22810900
