Date;Open;High;Low;Close;Volume
Mar-25;254.74;266.45;245.18;248.95;36079000
Feb-25;252.40;265.72;246.54;252.44;94123600
Jan-25;221.82;261.80;214.61;255.70;92420800
Dec-24;227.50;239.35;217.65;219.83;81531000
Nov-24;207.77;230.36;204.07;227.41;77279500
Oct-24;220.63;237.37;203.51;206.72;105623600
Sep-24;201.91;224.15;199.34;221.08;83445400
Aug-24;192.81;202.17;181.81;202.13;65453400
Jul-24;173.45;196.26;173.38;192.14;81257600
Jun-24;166.54;178.46;163.53;172.95;70706000
May-24;165.69;175.46;162.62;166.85;78619000
Apr-24;190.00;193.28;165.26;166.20;98354700
Mar-24;185.49;199.18;185.18;190.96;99989100
Feb-24;183.63;188.95;178.75;185.03;88676800
Jan-24;162.83;196.90;157.89;183.66;129883200
Dec-23;158.41;166.34;158.00;163.55;87828800
Nov-23;145.00;158.60;144.45;158.56;78458300
Oct-23;140.04;144.76;135.87;144.64;94385000
Sep-23;147.26;151.93;139.61;140.30;82798300
Aug-23;144.25;147.73;139.76;146.83;84268400
Jul-23;133.42;144.60;131.55;144.18;85773900
Jun-23;128.44;139.47;127.78;133.81;100711500
May-23;126.35;130.07;120.55;128.59;96207800
Apr-23;130.97;132.61;124.56;126.41;83679400
Mar-23;128.90;131.48;121.71;131.09;138239000
Feb-23;134.49;137.39;128.86;129.30;76080200
Jan-23;141.10;147.18;132.98;134.73;105575000
Dec-22;149.98;153.21;137.20;140.89;86424100
Nov-22;138.25;150.46;133.97;148.90;93661300
Oct-22;120.16;138.86;115.55;138.29;113478200
Sep-22;128.40;130.99;118.61;118.81;87265100
Aug-22;130.75;139.34;128.40;128.45;77419800
Jul-22;141.00;141.87;125.13;130.79;129791800
Jun-22;139.67;144.73;132.85;141.19;105811300
May-22;133.00;139.83;125.80;138.84;113226200
Apr-22;129.66;141.88;124.91;132.21;107684000
Mar-22;122.67;133.08;120.70;130.02;96571700
Feb-22;133.76;138.82;118.81;122.51;98534100
Jan-22;134.07;142.20;124.19;133.57;146976800
Dec-21;118.25;134.99;116.56;133.66;113968900
Nov-21;119.55;124.78;114.56;117.10;120104799
Oct-21;134.80;139.58;119.14;119.60;150725359
Sep-21;133.82;134.39;126.94;132.82;80160627
Aug-21;135.23;138.34;131.18;134.17;72891244
Jul-21;140.50;141.01;130.22;134.76;115710194
Jun-21;138.62;146.12;136.75;140.14;88332817
May-21;137.49;141.98;134.72;137.42;102542414
Apr-21;127.88;142.20;124.65;135.64;128573588
Mar-21;115.06;131.04;113.54;127.40;133852331
Feb-21;114.63;118.88;112.93;113.70;111617824
Jan-21;120.32;126.42;112.20;113.87;183999975
Dec-20;118.45;122.07;116.37;120.34;107553067
Nov-20;107.70;119.80;106.27;118.09;108438088
Oct-20;116.98;129.54;101.26;106.75;166434813
Sep-20;117.45;124.24;111.36;116.32;88369845
Aug-20;118.07;124.73;116.78;117.89;77439042
Jul-20;114.98;126.36;110.13;117.53;119434686
Jun-20;119.16;129.90;110.78;115.46;126567676
May-20;117.77;121.39;106.89;119.41;97154572
Apr-20;101.68;123.62;99.92;120.04;136705925
